Royal Challengers Bangalore,Royal Challengers Bangalore_comments,match,Deccan Chargers,Deccan Chargers_comments,Chennai Super Kings,Chennai Super Kings_comments,Rajasthan Royals,Rajasthan Royals_comments,Pune Warriors,Pune Warriors_comments,Mumbai Indians,Mumbai Indians_comments,Kings XI Punjab,Kings XI Punjab_comments,Kolkata Knight Riders,Kolkata Knight Riders_comments,Delhi Daredevils,Delhi Daredevils_comments
0,,0,0,,0,,0,,0,,0,,0,,0,,0,
2,Royal Challengers Bangalore Vs Delhi Daredevils<br>Royal Challengers Bangalore Won,1,0,Chennai Super Kings Vs Deccan Chargers<br>Deccan Chargers Lost,0,Chennai Super Kings Vs Mumbai Indians<br>Chennai Super Kings Lost,2,Rajasthan Royals Vs Kings XI Punjab<br>Rajasthan Royals Won,2,Pune Warriors Vs Mumbai Indians<br>Pune Warriors Won,2,Chennai Super Kings Vs Mumbai Indians<br>Mumbai Indians Won,0,Rajasthan Royals Vs Kings XI Punjab<br>Kings XI Punjab Lost,0,Kolkata Knight Riders Vs Delhi Daredevils<br>Kolkata Knight Riders Lost,2,Kolkata Knight Riders Vs Delhi Daredevils<br>Delhi Daredevils Won
2,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,2,0,Deccan Chargers Vs Mumbai Indians<br>Deccan Chargers Lost,2,Chennai Super Kings Vs Deccan Chargers<br>Chennai Super Kings Won,4,Rajasthan Royals Vs Kolkata Knight Riders<br>Rajasthan Royals Won,4,Pune Warriors Vs Kings XI Punjab<br>Pune Warriors Won,2,Pune Warriors Vs Mumbai Indians<br>Mumbai Indians Lost,0,Pune Warriors Vs Kings XI Punjab<br>Kings XI Punjab Lost,0,Rajasthan Royals Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,2,Royal Challengers Bangalore Vs Delhi Daredevils<br>Delhi Daredevils Lost
2,Royal Challengers Bangalore Vs Chennai Super Kings<br>Royal Challengers Bangalore Lost,3,0,Deccan Chargers Vs Delhi Daredevils<br>Deccan Chargers Lost,2,Chennai Super Kings Vs Delhi Daredevils<br>Chennai Super Kings Lost,4,Mumbai Indians Vs Rajasthan Royals<br>Rajasthan Royals Lost,4,Pune Warriors Vs Kings XI Punjab<br>Pune Warriors Lost,4,Deccan Chargers Vs Mumbai Indians<br>Mumbai Indians Won,2,Pune Warriors Vs Kings XI Punjab<br>Kings XI Punjab Won,2,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Kolkata Knight Riders Won,4,Chennai Super Kings Vs Delhi Daredevils<br>Delhi Daredevils Won
2,Rajasthan Royals Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,4,0,Deccan Chargers Vs Rajasthan Royals<br>Deccan Chargers Lost,4,Royal Challengers Bangalore Vs Chennai Super Kings<br>Chennai Super Kings Won,4,Rajasthan Royals Vs Kolkata Knight Riders<br>Rajasthan Royals Lost,6,Chennai Super Kings Vs Pune Warriors<br>Pune Warriors Won,6,Mumbai Indians Vs Rajasthan Royals<br>Mumbai Indians Won,4,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Won,4,Rajasthan Royals Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,6,Deccan Chargers Vs Delhi Daredevils<br>Delhi Daredevils Won
4,Pune Warriors Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,5,0,Deccan Chargers Vs Delhi Daredevils<br>Deccan Chargers Lost,4,Chennai Super Kings Vs Pune Warriors<br>Chennai Super Kings Lost,6,Rajasthan Royals Vs Royal Challengers Bangalore<br>Rajasthan Royals Won,6,Pune Warriors Vs Royal Challengers Bangalore<br>Pune Warriors Lost,6,Mumbai Indians Vs Delhi Daredevils<br>Mumbai Indians Lost,4,Kings XI Punjab Vs Kolkata Knight Riders<br>Kings XI Punjab Lost,4,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,8,Mumbai Indians Vs Delhi Daredevils<br>Delhi Daredevils Won
6,Kings XI Punjab Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,6,0,Deccan Chargers Vs Kolkata Knight Riders<br>Deccan Chargers Lost,6,Chennai Super Kings Vs Pune Warriors<br>Chennai Super Kings Won,8,Deccan Chargers Vs Rajasthan Royals<br>Rajasthan Royals Won,6,Chennai Super Kings Vs Pune Warriors<br>Pune Warriors Lost,6,Mumbai Indians Vs Kings XI Punjab<br>Mumbai Indians Lost,4,Kings XI Punjab Vs Royal Challengers Bangalore<br>Kings XI Punjab Lost,6,Kings XI Punjab Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,10,Deccan Chargers Vs Delhi Daredevils<br>Delhi Daredevils Won
8,Royal Challengers Bangalore Vs Rajasthan Royals<br>Royal Challengers Bangalore Won,7,2,Deccan Chargers Vs Pune Warriors<br>Deccan Chargers Won,8,Rajasthan Royals Vs Chennai Super Kings<br>Chennai Super Kings Won,8,Rajasthan Royals Vs Chennai Super Kings<br>Rajasthan Royals Lost,8,Pune Warriors Vs Delhi Daredevils<br>Pune Warriors Won,8,Kings XI Punjab Vs Mumbai Indians<br>Mumbai Indians Won,6,Mumbai Indians Vs Kings XI Punjab<br>Kings XI Punjab Won,8,Deccan Chargers Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,10,Pune Warriors Vs Delhi Daredevils<br>Delhi Daredevils Lost
8,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,8,2,Deccan Chargers Vs Mumbai Indians<br>Deccan Chargers Lost,8,Kings XI Punjab Vs Chennai Super Kings<br>Chennai Super Kings Lost,8,Royal Challengers Bangalore Vs Rajasthan Royals<br>Rajasthan Royals Lost,8,Pune Warriors Vs Delhi Daredevils<br>Pune Warriors Lost,8,Delhi Daredevils Vs Mumbai Indians<br>Mumbai Indians Lost,6,Kings XI Punjab Vs Mumbai Indians<br>Kings XI Punjab Lost,10,Kolkata Knight Riders Vs Royal Challengers Bangalore<br>Kolkata Knight Riders Won,12,Pune Warriors Vs Delhi Daredevils<br>Delhi Daredevils Won
8,Royal Challengers Bangalore Vs Kings XI Punjab<br>Royal Challengers Bangalore Lost,9,4,Deccan Chargers Vs Pune Warriors<br>Deccan Chargers Won,8,Chennai Super Kings Vs Kolkata Knight Riders<br>Chennai Super Kings Lost,8,Delhi Daredevils Vs Rajasthan Royals<br>Rajasthan Royals Lost,8,Deccan Chargers Vs Pune Warriors<br>Pune Warriors Lost,10,Deccan Chargers Vs Mumbai Indians<br>Mumbai Indians Won,8,Kings XI Punjab Vs Chennai Super Kings<br>Kings XI Punjab Won,12,Chennai Super Kings Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,14,Delhi Daredevils Vs Mumbai Indians<br>Delhi Daredevils Won
10,Deccan Chargers Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,10,4,Chennai Super Kings Vs Deccan Chargers<br>Deccan Chargers Lost,10,Chennai Super Kings Vs Deccan Chargers<br>Chennai Super Kings Won,8,Rajasthan Royals Vs Delhi Daredevils<br>Rajasthan Royals Lost,8,Deccan Chargers Vs Pune Warriors<br>Pune Warriors Lost,12,Mumbai Indians Vs Pune Warriors<br>Mumbai Indians Won,10,Royal Challengers Bangalore Vs Kings XI Punjab<br>Kings XI Punjab Won,14,Kolkata Knight Riders Vs Pune Warriors<br>Kolkata Knight Riders Won,16,Delhi Daredevils Vs Rajasthan Royals<br>Delhi Daredevils Won
12,Mumbai Indians Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Won,11,4,Deccan Chargers Vs Royal Challengers Bangalore<br>Deccan Chargers Lost,10,Chennai Super Kings Vs Mumbai Indians<br>Chennai Super Kings Lost,10,Rajasthan Royals Vs Kings XI Punjab<br>Rajasthan Royals Won,8,Mumbai Indians Vs Pune Warriors<br>Pune Warriors Lost,14,Chennai Super Kings Vs Mumbai Indians<br>Mumbai Indians Won,10,Rajasthan Royals Vs Kings XI Punjab<br>Kings XI Punjab Lost,16,Delhi Daredevils Vs Kolkata Knight Riders<br>Kolkata Knight Riders Won,18,Rajasthan Royals Vs Delhi Daredevils<br>Delhi Daredevils Won
14,Royal Challengers Bangalore Vs Pune Warriors<br>Royal Challengers Bangalore Won,12,4,Kings XI Punjab Vs Deccan Chargers<br>Deccan Chargers Lost,12,Rajasthan Royals Vs Chennai Super Kings<br>Chennai Super Kings Won,12,Pune Warriors Vs Rajasthan Royals<br>Rajasthan Royals Won,8,Kolkata Knight Riders Vs Pune Warriors<br>Pune Warriors Lost,14,Mumbai Indians Vs Royal Challengers Bangalore<br>Mumbai Indians Lost,12,Kings XI Punjab Vs Deccan Chargers<br>Kings XI Punjab Won,16,Mumbai Indians Vs Kolkata Knight Riders<br>Kolkata Knight Riders Lost,18,Delhi Daredevils Vs Kolkata Knight Riders<br>Delhi Daredevils Lost
14,Royal Challengers Bangalore Vs Mumbai Indians<br>Royal Challengers Bangalore Lost,13,4,Deccan Chargers Vs Kings XI Punjab<br>Deccan Chargers Lost,14,Delhi Daredevils Vs Chennai Super Kings<br>Chennai Super Kings Won,12,Rajasthan Royals Vs Chennai Super Kings<br>Rajasthan Royals Lost,8,Pune Warriors Vs Rajasthan Royals<br>Pune Warriors Lost,16,Mumbai Indians Vs Kolkata Knight Riders<br>Mumbai Indians Won,14,Deccan Chargers Vs Kings XI Punjab<br>Kings XI Punjab Won,16,Kolkata Knight Riders Vs Chennai Super Kings<br>Kolkata Knight Riders Lost,18,Delhi Daredevils Vs Chennai Super Kings<br>Delhi Daredevils Lost
16,Royal Challengers Bangalore Vs Delhi Daredevils<br>Royal Challengers Bangalore Won,14,6,Rajasthan Royals Vs Deccan Chargers<br>Deccan Chargers Won,16,Kolkata Knight Riders Vs Chennai Super Kings<br>Chennai Super Kings Won,14,Rajasthan Royals Vs Pune Warriors<br>Rajasthan Royals Won,8,Royal Challengers Bangalore Vs Pune Warriors<br>Pune Warriors Lost,18,Royal Challengers Bangalore Vs Mumbai Indians<br>Mumbai Indians Won,14,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Lost,18,Kolkata Knight Riders Vs Mumbai Indians<br>Kolkata Knight Riders Won,20,Kings XI Punjab Vs Delhi Daredevils<br>Delhi Daredevils Won
16,Deccan Chargers Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,15,8,Deccan Chargers Vs Royal Challengers Bangalore<br>Deccan Chargers Won,16,Chennai Super Kings Vs Kings XI Punjab<br>Chennai Super Kings Lost,14,Rajasthan Royals Vs Deccan Chargers<br>Rajasthan Royals Lost,8,Rajasthan Royals Vs Pune Warriors<br>Pune Warriors Lost,18,Kolkata Knight Riders Vs Mumbai Indians<br>Mumbai Indians Lost,16,Chennai Super Kings Vs Kings XI Punjab<br>Kings XI Punjab Won,20,Kolkata Knight Riders Vs Pune Warriors<br>Kolkata Knight Riders Won,20,Royal Challengers Bangalore Vs Delhi Daredevils<br>Delhi Daredevils Lost
16,Deccan Chargers Vs Royal Challengers Bangalore<br>Royal Challengers Bangalore Lost,16,8,Deccan Chargers Vs Royal Challengers Bangalore<br>Deccan Chargers Won,18,Chennai Super Kings Vs Mumbai Indians<br>Chennai Super Kings Won,14,Rajasthan Royals Vs Mumbai Indians<br>Rajasthan Royals Lost,8,Kolkata Knight Riders Vs Pune Warriors<br>Pune Warriors Lost,20,Rajasthan Royals Vs Mumbai Indians<br>Mumbai Indians Won,16,Kings XI Punjab Vs Delhi Daredevils<br>Kings XI Punjab Lost,22,Kolkata Knight Riders Vs Delhi Daredevils<br>Kolkata Knight Riders Won,22,Kings XI Punjab Vs Delhi Daredevils<br>Delhi Daredevils Won
